,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
0,https://www.vcuhealth.org/,text/html; charset=utf-8,200,OK,Non-Indexable,noindex,VCU Health,10,105,"We are an academic medical center on the forefront of health care, providing patients with the most progressive treatments and medical technology available.",156,977,,0,Relentlessly exploring new ways to improve human life.,54,What can we help you find?,26,Pushing the limits to advance medicine,38,"noindex,nofollow",,,,,,,,,186759,994,3.203,0,,7,1,0,100.0,133,76,0,16,11,0,,,,,9eae1bdbe9f7e7d595818edc63948f8d,0.582,,,,,1.1,https://www.vcuhealth.org/,2022-01-31 15:09:19
1,https://www.vcuhealth.org/assets/_img/logo.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,9390,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.042,"Thu, 06 Feb 2020 20:01:22 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/logo.png,2022-01-31 15:09:20
6,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,13045,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.173,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/defaultNewsImage.jpg,2022-01-31 15:09:20
8,https://www.vcuhealth.org/assets/_img/Instagram.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,5461,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.176,"Thu, 06 Feb 2020 20:01:22 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/Instagram.svg,2022-01-31 15:09:20
9,https://www.vcuhealth.org/assets/_img/ic_dollar.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1651,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.123,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/ic_dollar.svg,2022-01-31 15:09:20
10,https://www.vcuhealth.org/assets/_img/ic_business_center.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1587,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.169,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/ic_business_center.svg,2022-01-31 15:09:20
12,https://www.vcuhealth.org/assets/_img/Facebook.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1456,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.126,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/Facebook.svg,2022-01-31 15:09:20
14,https://www.vcuhealth.org/assets/_img/times-icon.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,3383,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.121,"Mon, 24 Apr 2017 21:30:06 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/times-icon.png,2022-01-31 15:09:21
18,https://www.vcuhealth.org/assets/_img/ic_person.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1300,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.129,"Thu, 06 Feb 2020 20:01:22 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/ic_person.svg,2022-01-31 15:09:21
19,https://www.vcuhealth.org/assets/_img/footer_logo2.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,8560,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.152,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/footer_logo2.png,2022-01-31 15:09:21
22,https://www.vcuhealth.org/assets/_img/right-arrow.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1333,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.12,"Thu, 06 Feb 2020 20:01:22 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/right-arrow.svg,2022-01-31 15:09:21
23,https://www.vcuhealth.org/assets/_img/ic_date_range.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1910,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.119,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/ic_date_range.svg,2022-01-31 15:09:21
25,https://www.vcuhealth.org/-/media/media/featurednewsimages/coronavirus7_resized.ashx,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,261593,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.18,"Tue, 26 Jan 2021 19:49:18 GMT",,,,1.1,https://www.vcuhealth.org/-/media/media/featurednewsimages/coronavirus7_resized.ashx,2022-01-31 15:09:21
26,https://www.vcuhealth.org/assets/_img/Twitter.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,2926,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.119,"Thu, 06 Feb 2020 20:01:22 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/Twitter.svg,2022-01-31 15:09:21
30,https://www.vcuhealth.org/assets/_img/ic_contacts.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,1649,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.133,"Thu, 06 Feb 2020 20:01:20 GMT",,,,1.1,https://www.vcuhealth.org/assets/_img/ic_contacts.svg,2022-01-31 15:09:21
34,https://www.vcuhealth.org/-/media/media/featurednewsimages/school-of--nursing_resized.ashx,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,71602,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.241,"Thu, 27 Jan 2022 19:48:23 GMT",,,,1.1,https://www.vcuhealth.org/-/media/media/featurednewsimages/school-of--nursing_resized.ashx,2022-01-31 15:09:21
35,https://www.vcuhealth.org/-/media/media/featurednewsimages/keira-damatoresized.ashx,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,52567,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.267,"Mon, 31 Jan 2022 15:48:13 GMT",,,,1.1,https://www.vcuhealth.org/-/media/media/featurednewsimages/keira-damatoresized.ashx,2022-01-31 15:09:21
